AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Luxfer Holdings PLC'],['Neo Performance Materials Inc'],2018-12-18,0,Europe,Americas,12.914,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value', 'Expand presence in new geographical regions']",Merger,Withdrawn,12.914,1970-01-01 00:00:00.000000049,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000013,Public,Public,Metals & Mining,Chemicals,,15.119,9.178,1.177,13.159,7.988,1.024,448.121,2018-12-18
['Winfield Group Investments Pty Ltd'],['Stanmore Resources Ltd'],2019-08-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.149,AU,"['Strengthen operations', 'Other']",Merger,Withdrawn,1.149,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000018,Private,Public,Metals & Mining,Metals & Mining,,6.562,3.909,1.491,5.593,3.332,1.271,247.619,2019-08-07
['DBAY Advisors Ltd'],['Telit Communications Ltd'],2020-11-03,0,Europe,Europe,2.553,STG,"['Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,2.351,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000044,1970-01-01 00:00:00.000000038,Private,Public,Asset Management,Wireless,,38.13,8.511,0.901,32.317,7.213,0.764,235.67,2020-11-03
['City Index Eleventh Co Ltd'],['Shibaura Machine Co Ltd'],2020-01-17,0,Japan,Japan,31.367,Y,['Response to other bid/tender offer'],Acquisition Of Partial Interest,Withdrawn,31.367,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,Subsidiary,Public,Other Financials,Machinery,,21.682,13.837,0.697,19.945,12.729,0.641,235.251,2020-01-17
['Rekor Systems Inc'],['Iteris Inc'],2021-02-20,0,Americas,Americas,6.044,US,"['Strengthen operations', 'Increase shareholder value/dilute number of outstanding shares']",Merger,Withdrawn,6.044,1970-01-01 00:00:00.000000001,1969-12-31 23:59:59.999999999,1969-12-31 23:59:59.999999989,Public,Public,Software,Telecommunications Equipment,,231.09,59.557,2.171,210.469,54.243,1.978,230.043,2021-02-20
['Lundin Mining Corp'],['Nevsun Resources Ltd'],2018-07-16,0,Americas,Americas,3.61,C,['Increase shareholder value'],Merger,Withdrawn,3.61,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000051,Public,Public,Metals & Mining,Metals & Mining,,-29.028,48.38,3.372,-25.708,42.847,2.986,966.482,2018-07-16
['SG Fleet Group Ltd'],['Fleetpartners Group Ltd'],2018-08-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.845,AU,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,1.845,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000020,1969-12-31 23:59:59.999999982,Public,Public,Professional Services,Credit Institutions,,14.792,2.004,1.157,14.792,2.004,1.157,576.645,2018-08-20
['Starwood Capital Asia Ltd'],['Australian Unity Office Fund'],2018-10-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.077,AU,['Strengthen existing operations/expand presence in secondary market'],Merger,Withdrawn,2.134,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000006,Subsidiary,Public,Non Residential,REITs,,4.805,0.0,8.754,7.128,,12.986,501.67,2018-10-08
['Yan Chunyu'],['Wuhan Tianyu Information Industry Co Ltd'],2021-09-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.701,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.701,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999985,Investor,Public,Other Financials,Semiconductors,,-173.228,0.0,4.176,-173.469,-1689.397,4.182,219.448,2021-09-09
['Investor Group'],['Chunghsin Technology Group Co Ltd'],2019-07-31,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.5,CY,['Strengthen operations'],Acquisition Of Majority Interest,Withdrawn,1.5,1970-01-01 00:00:00.000000118,1970-01-01 00:00:00.000000120,1970-01-01 00:00:00.000000102,Private,Public,Other Financials,Computers & Peripherals,,-28.493,0.0,6.429,-43.061,,9.716,233.15,2019-07-31
['Zhejiang Zheneng Electric Power Investment Hong Kong Ltd'],['Zheneng Jinjiang Environment Holding Co Ltd'],2020-10-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.581,CY,['General strategy to take advantage of sound investment opportunities'],Acquisition Of Partial Interest,Withdrawn,0.581,1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000036,Subsidiary,Public,Other Financials,Water and Waste Management,,36.065,4.895,1.426,79.591,10.803,3.147,216.524,2020-10-12
['IGO Ltd'],['Panoramic Resources Ltd'],2019-11-04,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.34,AU,"['Concentrate on core businesses/assets', 'Strengthen operations', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,0.34,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000058,Public,Public,Metals & Mining,Metals & Mining,,31.515,154.217,11.582,35.189,172.193,12.932,216.022,2019-11-04
['Harbin Electric Corp'],['Harbin Electric Co Ltd'],2018-12-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.582,CY,"['Raise cash in conjunction with financing of concurrent acq./merger', 'General restructuring of business/operations']",Acquisition Of Remaining Interest,Withdrawn,0.582,1970-01-01 00:00:00.000000082,1970-01-01 00:00:00.000000082,1970-01-01 00:00:00.000000075,Private,Public,Other Energy & Power,Other Energy & Power,,38.208,5.687,0.245,24.279,3.614,0.156,393.504,2018-12-27
['Future Enterprises Ltd'],['Future Supply Chain Solutions Ltd'],2020-08-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.601,RE,['Strengthen operations'],Merger,Withdrawn,3.601,1970-01-01 00:00:00.000000073,1970-01-01 00:00:00.000000076,1970-01-01 00:00:00.000000075,Public,Public,Department Stores,Other Industrials,,-201.616,4.521,1.013,-363.412,8.15,1.825,210.983,2020-08-29
['Investor Group'],['PNC Process Systems Co Ltd'],2020-04-30,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.621,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,3.621,1969-12-31 23:59:59.999999972,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999982,Private,Public,Other Financials,Professional Services,,96.574,47.398,8.231,106.547,52.293,9.08,210.586,2020-04-30
['Haier Electronics Group Co Ltd'],['Ozner Water International Holding Ltd'],2019-11-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.131,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.131,1969-12-31 23:59:59.999999970,1969-12-31 23:59:59.999999974,1969-12-31 23:59:59.999999982,Public,Public,Electronics,Machinery,,29.402,5.154,2.019,42.419,7.436,2.913,210.191,2019-11-01
['Yancheng Intelligent Terminal Industrial Park Development & Operation Co Ltd'],['Suzhou Dongshan Precision Manufacturing Co Ltd'],2019-10-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.579,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.579,,1969-12-31 23:59:59.999999994,1969-12-31 23:59:59.999999984,Private,Public,Other Financials,Electronics,,29.031,10.301,1.3,41.34,14.669,1.851,207.152,2019-10-08
['Investor Group'],['Shenzhen Sunlord Electronics Co Ltd'],2020-05-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.503,CY,"['General restructuring of business/operations', 'Strengthen operations', 'Allow to offer new products and services']",Acquisition Of Partial Interest,Withdrawn,2.503,1969-12-31 23:59:59.999999974,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999982,Private,Public,Other Financials,Semiconductors,,45.536,23.887,6.827,46.967,24.637,7.042,206.47,2020-05-28
['SSR Mining Inc'],['SSR Mining Inc'],2021-04-19,0,Americas,Americas,20.31,US,['Other'],Buyback,Withdrawn,20.31,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000033,Public,Public,Metals & Mining,Metals & Mining,,,0.0,,,,,203.1,2021-04-19
['Stratosphere Holdco LLC'],['Stein Mart Inc'],2020-01-30,0,Americas,Americas,0.9,US,"['Private Equity Buy and Build strategy.', 'Increase shareholder value']",Merger,Withdrawn,0.9,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000034,Subsidiary,Public,Other Financials,Apparel Retailing,,-4.367,2.43,0.05,-19.78,11.007,0.225,201.913,2020-01-30
['Nanchang Shuitian Investment Group Co Ltd'],['Zhejiang Fuchunjiang Environmental Thermoelectric Co Ltd'],2021-09-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.77,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.77,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999986,Subsidiary,Public,Asset Management,Power,,11.025,7.792,1.208,14.219,10.049,1.558,199.919,2021-09-15
['Investor Group'],['Shangying Global Co Ltd'],2020-03-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.595,CY,"['Expand presence in new/foreign markets', 'Increase shareholder value']",Acquisition Of Partial Interest,Withdrawn,1.595,1969-12-31 23:59:59.999999972,1969-12-31 23:59:59.999999973,1970-01-01 00:00:00.000000000,Private,Public,Other Financials,Textiles & Apparel,,-21.695,0.0,5.762,-22.482,-13.933,5.971,198.71,2020-03-10
['Investor Group'],['Heilongjiang Interchina Water Treatment Co Ltd'],2021-05-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.368,CY,['Proceeds used to pay down existing outstanding debt'],Acquisition Of Partial Interest,Withdrawn,0.368,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,Private,Public,Other Financials,Water and Waste Management,,-11417.318,177.443,22.274,-11108.668,172.646,21.672,196.437,2021-05-27
['Hunan Xiangjiang New Area Development Group Co Ltd'],['Misho Ecology & Landscape Co Ltd'],2021-01-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.152,CY,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Acquisition Of Partial Interest,Withdrawn,1.152,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000002,Private,Public,Other Real Estate,Building/Construction & Engineering,,-624.083,35.555,3.725,-899.498,51.246,5.369,194.129,2021-01-07
['South Hope Industrial Co Ltd'],['Xingyuan Environment Technology Co Ltd'],2020-11-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.466,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.466,1969-12-31 23:59:59.999999985,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999974,Subsidiary,Public,Other Financials,Water and Waste Management,,-193.526,36.576,2.761,-300.917,56.873,4.292,194.095,2020-11-17
['Mill Road Capital Management LLC'],['Huttig Building Products Inc'],2020-08-07,0,Americas,Americas,2.75,US,,Merger,Withdrawn,2.75,1970-01-01 00:00:00.000000066,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000139,Private,Public,Alternative Financial Investments,Construction Supplies & Fixtures,,-4.898,10.719,0.093,-13.209,28.907,0.252,193.468,2020-08-07
['Shandong Finance Investment Group Co Ltd'],['Jinlei Technology Co Ltd'],2021-07-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.464,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,3.464,,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999981,Private,Public,Asset Management,Other Industrials,,11.656,10.166,4.272,10.93,9.532,4.006,192.712,2021-07-17
['Undisclosed Acquiror'],['Pacific Current Group Ltd'],2019-10-29,0,Unknown Region,Asia Pacific Excluding Central Asia,5.077,AU,['Increase shareholder value'],Merger,Withdrawn,5.077,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000005,Private,Public,Brokerage,Asset Management,,9.096,26.018,6.471,7.239,20.706,5.15,192.499,2019-10-29
['Ren Guilong'],['Jinzi Ham Co Ltd'],2021-10-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.659,CY,"['Strengthen operations', 'Proceeds used to pay down existing outstanding debt']",Acquisition Of Partial Interest,Withdrawn,0.659,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999984,Investor,Public,Other Financials,Food and Beverage,,228.068,60.12,8.64,230.074,60.649,8.715,192.4,2021-10-12
['Upsilon Investment LPS'],['HS Holdings Co Ltd'],2020-02-20,0,Japan,Japan,9.43,Y,['Other'],Acquisition Of Majority Interest,Withdrawn,9.43,1970-01-01 00:00:00.000000003,1969-12-31 23:59:59.999999996,1970-01-01 00:00:00.000000013,Subsidiary,Public,Other Financials,Brokerage,,3.77,2.63,0.654,3.77,2.63,0.654,187.272,2020-02-20
['Beijing Longhuikang Oriental Medicine Co Ltd'],['Realcan Pharmaceutical Group Co Ltd'],2020-08-04,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.709,CY,"['Strengthen operations', 'Proceeds used to pay down existing outstanding debt']",Acquisition Of Partial Interest,Withdrawn,0.709,1969-12-31 23:59:59.999999975,1969-12-31 23:59:59.999999986,1969-12-31 23:59:59.999999979,Private,Public,Other Consumer Products,Other Consumer Products,,-13.082,3.674,0.291,-34.677,9.739,0.773,186.249,2020-08-04
['Sunshine H Investment Partnership'],['Keihanshin Building Co Ltd'],2020-11-04,0,Japan,Japan,18.189,Y,['Other'],Acquisition Of Partial Interest,Withdrawn,18.189,1970-01-01 00:00:00.000000001,1969-12-31 23:59:59.999999999,1970-01-01 00:00:00.000000006,Subsidiary,Public,Other Financials,Non Residential,,24.068,12.721,6.464,34.686,18.332,9.315,185.637,2020-11-04
['Ren Qifeng'],['Jinzi Ham Co Ltd'],2021-08-28,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.627,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.627,1969-12-31 23:59:59.999999976,1969-12-31 23:59:59.999999978,1969-12-31 23:59:59.999999988,Investor,Public,Other Financials,Food and Beverage,,86.746,41.661,7.199,87.82,42.177,7.288,184.14,2021-08-28
['Investor Group'],['PNB Housing Finance Ltd'],2019-03-29,0,Americas,Asia Pacific Excluding Central Asia,12.289,RE,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,12.289,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999995,1969-12-31 23:59:59.999999996,Private,Public,Other Financials,Credit Institutions,506.03,15.056,2.445,2.213,15.056,2.445,2.213,267.704,2019-03-29
['Zhumadian Industry Investment Group Co Ltd'],['Tianjin Motor Dies Co Ltd'],2020-11-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.115,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,1.115,1970-01-01 00:00:00.000000070,1970-01-01 00:00:00.000000076,1970-01-01 00:00:00.000000075,Private,Public,Other Financials,Automobiles & Components,,-47.319,0.0,4.117,-55.927,-107.21,4.866,180.356,2020-11-26
['Adams NZ Bidco Ltd'],['Abano Healthcare Group Ltd'],2019-11-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.607,NZ,,Merger,Withdrawn,3.607,1970-01-01 00:00:00.000000052,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000045,Subsidiary,Public,Other Financials,Healthcare Providers & Services (HMOs),,19.484,4.534,0.535,37.054,8.622,1.017,179.632,2019-11-11
['Zhao Xia'],['Thinker Agricultural Machinery Co Ltd'],2019-06-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.775,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,2.775,1970-01-01 00:00:00.000000039,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000046,Investor,Public,Other Financials,Machinery,,-215.918,87.77,6.641,-211.926,86.147,6.519,214.788,2019-06-11
['DBG Health Pty Ltd'],"[""McPherson's Ltd""]",2021-04-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.246,AU,['Strengthen operations'],Merger,Withdrawn,1.246,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000030,Subsidiary,Public,Pharmaceuticals,Other Consumer Products,,140.964,8.291,0.968,147.905,8.699,1.016,172.897,2021-04-29
['Investor Group'],['Guangdong TCL Smart Home Appliances Co Ltd'],2020-07-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.529,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.529,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999982,Private,Public,Other Financials,Household & Personal Products,,-239.847,8.181,0.754,-312.774,10.669,0.984,172.062,2020-07-08
['Fujian Tianzhi Investment Partners LP'],['Tatwah Smartech Co Ltd'],2020-09-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.681,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.681,,1969-12-31 23:59:59.999999975,1969-12-31 23:59:59.999999984,Subsidiary,Public,Other Financials,Semiconductors,,141.653,0.0,2.578,171.918,-28.977,3.129,171.778,2020-09-17
['Investor Group'],['Beijing WKW Automotive Parts Co Ltd'],2019-09-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.469,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.469,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000020,Private,Public,Other Financials,Automobiles & Auto Parts,,-15.109,57.152,1.184,-19.435,73.513,1.523,170.396,2019-09-12
['SolGold PLC'],['Cornerstone Capital Resources Inc'],2019-01-31,0,Asia Pacific Excluding Central Asia,Americas,0.266,C,"['Strengthen operations', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,0.266,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000018,Public,Public,Metals & Mining,Metals & Mining,,-43.481,0.0,2596.429,-43.038,-43.3,2570.007,287.359,2019-01-31
['Sycamore Partners LLC'],"[""Chico's FAS Inc""]",2019-04-14,0,Americas,Americas,3.0,US,['Private Equity Buy and Build strategy.'],Merger,Withdrawn,4.3,1969-12-31 23:59:59.999999981,1969-12-31 23:59:59.999999973,1969-12-31 23:59:59.999999966,Private,Public,Alternative Financial Investments,Apparel Retailing,,93.597,3.448,0.167,63.006,2.321,0.113,235.265,2019-04-14
['Foshan Construction & Development Group Co Ltd'],['Ningbo Construction Co Ltd'],2019-04-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.773,CY,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.773,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000008,Subsidiary,Public,Public Administration,Building/Construction & Engineering,,22.293,7.22,0.313,32.632,10.568,0.458,225.677,2019-04-29
['Mastercard UK Holdco Ltd'],['Visa Payments Ltd'],2019-01-25,0,Europe,Europe,0.479,STG,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market']",Merger,Withdrawn,0.427,1970-01-01 00:00:00.000000393,1970-01-01 00:00:00.000000406,1970-01-01 00:00:00.000000496,Subsidiary,Public,Other Financials,Computers & Peripherals,,-20.713,0.0,7.512,-18.756,-34.459,6.803,286.736,2019-01-25
